timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1623613629563;1381;Submit Score;200;OK;Sharp Games 1-501;text;TRUE;;956;802;2;2;https://sharpauviluck.id/tampan.php;1381;0;402
1623613630560;1383;Submit Score;200;OK;Sharp Games 1-502;text;TRUE;;958;772;2;2;https://sharpauviluck.id/tampan.php;1383;0;394
1623613631569;1390;Submit Score;200;OK;Sharp Games 1-503;text;TRUE;;958;777;2;2;https://sharpauviluck.id/tampan.php;1390;0;399
1623613632561;1344;Submit Score;200;OK;Sharp Games 1-504;text;TRUE;;956;782;2;2;https://sharpauviluck.id/tampan.php;1344;0;384
1623613633562;811;Submit Score;200;OK;Sharp Games 1-505;text;TRUE;;968;787;1;1;https://sharpauviluck.id/tampan.php;811;0;392
1623613634561;1369;Submit Score;200;OK;Sharp Games 1-506;text;TRUE;;954;777;2;2;https://sharpauviluck.id/tampan.php;1369;0;401
1623613635575;1340;Submit Score;200;OK;Sharp Games 1-507;text;TRUE;;958;797;2;2;https://sharpauviluck.id/tampan.php;1340;0;384
1623613636561;1359;Submit Score;200;OK;Sharp Games 1-508;text;TRUE;;956;802;2;2;https://sharpauviluck.id/tampan.php;1359;0;392
1623613637560;1362;Submit Score;200;OK;Sharp Games 1-509;text;TRUE;;954;762;2;2;https://sharpauviluck.id/tampan.php;1362;0;401
1623613638560;1344;Submit Score;200;OK;Sharp Games 1-510;text;TRUE;;966;777;2;2;https://sharpauviluck.id/tampan.php;1344;0;402
1623613639560;1339;Submit Score;200;OK;Sharp Games 1-511;text;TRUE;;954;762;2;2;https://sharpauviluck.id/tampan.php;1339;0;400
1623613640562;1333;Submit Score;200;OK;Sharp Games 1-512;text;TRUE;;954;792;2;2;https://sharpauviluck.id/tampan.php;1331;0;400
1623613641561;830;Submit Score;200;OK;Sharp Games 1-513;text;TRUE;;962;762;1;1;https://sharpauviluck.id/tampan.php;830;0;405
1623613642561;1368;Submit Score;200;OK;Sharp Games 1-514;text;TRUE;;960;802;2;2;https://sharpauviluck.id/tampan.php;1368;0;409
1623613643561;1366;Submit Score;200;OK;Sharp Games 1-515;text;TRUE;;956;777;2;2;https://sharpauviluck.id/tampan.php;1364;0;407
1623613644568;1325;Submit Score;200;OK;Sharp Games 1-516;text;TRUE;;966;802;2;2;https://sharpauviluck.id/tampan.php;1325;0;394
1623613645560;1369;Submit Score;200;OK;Sharp Games 1-517;text;TRUE;;958;797;2;2;https://sharpauviluck.id/tampan.php;1368;0;407
1623613646560;1350;Submit Score;200;OK;Sharp Games 1-518;text;TRUE;;960;762;2;2;https://sharpauviluck.id/tampan.php;1350;0;396
1623613647560;1339;Submit Score;200;OK;Sharp Games 1-519;text;TRUE;;960;772;2;2;https://sharpauviluck.id/tampan.php;1339;0;401
1623613648560;817;Submit Score;200;OK;Sharp Games 1-520;text;TRUE;;956;762;1;1;https://sharpauviluck.id/tampan.php;815;0;404
1623613649561;1393;Submit Score;200;OK;Sharp Games 1-521;text;TRUE;;966;782;2;2;https://sharpauviluck.id/tampan.php;1390;0;422
1623613650560;1367;Submit Score;200;OK;Sharp Games 1-522;text;TRUE;;968;772;2;2;https://sharpauviluck.id/tampan.php;1367;0;401
1623613651567;1381;Submit Score;200;OK;Sharp Games 1-523;text;TRUE;;962;757;2;2;https://sharpauviluck.id/tampan.php;1381;0;399
1623613652560;815;Submit Score;200;OK;Sharp Games 1-524;text;TRUE;;958;792;1;1;https://sharpauviluck.id/tampan.php;815;0;407
1623613653571;1392;Submit Score;200;OK;Sharp Games 1-525;text;TRUE;;952;782;2;2;https://sharpauviluck.id/tampan.php;1392;0;408
1623613654561;816;Submit Score;200;OK;Sharp Games 1-526;text;TRUE;;964;777;1;1;https://sharpauviluck.id/tampan.php;816;0;403
1623613655559;816;Submit Score;200;OK;Sharp Games 1-527;text;TRUE;;960;802;1;1;https://sharpauviluck.id/tampan.php;816;0;394
1623613656560;1352;Submit Score;200;OK;Sharp Games 1-528;text;TRUE;;960;762;2;2;https://sharpauviluck.id/tampan.php;1352;0;393
1623613657560;1324;Submit Score;200;OK;Sharp Games 1-529;text;TRUE;;964;757;2;2;https://sharpauviluck.id/tampan.php;1322;0;394
1623613658561;1378;Submit Score;200;OK;Sharp Games 1-530;text;TRUE;;958;777;2;2;https://sharpauviluck.id/tampan.php;1378;0;400
1623613659560;811;Submit Score;200;OK;Sharp Games 1-531;text;TRUE;;960;782;1;1;https://sharpauviluck.id/tampan.php;811;0;402
1623613660560;1340;Submit Score;200;OK;Sharp Games 1-532;text;TRUE;;952;787;2;2;https://sharpauviluck.id/tampan.php;1329;0;399
1623613661563;1331;Submit Score;200;OK;Sharp Games 1-533;text;TRUE;;962;767;2;2;https://sharpauviluck.id/tampan.php;1331;0;398
1623613662574;1402;Submit Score;200;OK;Sharp Games 1-534;text;TRUE;;960;777;2;2;https://sharpauviluck.id/tampan.php;1402;0;403
1623613663560;1371;Submit Score;200;OK;Sharp Games 1-535;text;TRUE;;960;787;2;2;https://sharpauviluck.id/tampan.php;1371;0;411
1623613664561;1372;Submit Score;200;OK;Sharp Games 1-536;text;TRUE;;962;782;2;2;https://sharpauviluck.id/tampan.php;1369;0;407
1623613665565;824;Submit Score;200;OK;Sharp Games 1-537;text;TRUE;;962;782;1;1;https://sharpauviluck.id/tampan.php;824;0;403
1623613666560;1340;Submit Score;200;OK;Sharp Games 1-538;text;TRUE;;962;777;2;2;https://sharpauviluck.id/tampan.php;1340;0;403
1623613667561;1364;Submit Score;200;OK;Sharp Games 1-539;text;TRUE;;958;777;2;2;https://sharpauviluck.id/tampan.php;1364;0;406
1623613668560;1379;Submit Score;200;OK;Sharp Games 1-540;text;TRUE;;958;752;2;2;https://sharpauviluck.id/tampan.php;1379;0;401
1623613669559;808;Submit Score;200;OK;Sharp Games 1-541;text;TRUE;;960;777;1;1;https://sharpauviluck.id/tampan.php;807;0;396
1623613670560;816;Submit Score;200;OK;Sharp Games 1-542;text;TRUE;;958;792;1;1;https://sharpauviluck.id/tampan.php;816;0;402
1623613671559;1361;Submit Score;200;OK;Sharp Games 1-543;text;TRUE;;962;772;2;2;https://sharpauviluck.id/tampan.php;1359;0;394
1623613672560;812;Submit Score;200;OK;Sharp Games 1-544;text;TRUE;;960;777;1;1;https://sharpauviluck.id/tampan.php;812;0;402
1623613673560;822;Submit Score;200;OK;Sharp Games 1-545;text;TRUE;;964;782;1;1;https://sharpauviluck.id/tampan.php;822;0;405
1623613674560;1335;Submit Score;200;OK;Sharp Games 1-546;text;TRUE;;962;792;2;2;https://sharpauviluck.id/tampan.php;1334;0;384
1623613675559;1384;Submit Score;200;OK;Sharp Games 1-547;text;TRUE;;952;757;2;2;https://sharpauviluck.id/tampan.php;1382;0;404
1623613676566;1343;Submit Score;200;OK;Sharp Games 1-548;text;TRUE;;960;772;2;2;https://sharpauviluck.id/tampan.php;1343;0;396
1623613677560;1361;Submit Score;200;OK;Sharp Games 1-549;text;TRUE;;966;767;2;2;https://sharpauviluck.id/tampan.php;1361;0;397
1623613678560;828;Submit Score;200;OK;Sharp Games 1-550;text;TRUE;;960;772;1;1;https://sharpauviluck.id/tampan.php;828;0;413
1623613679559;845;Submit Score;200;OK;Sharp Games 1-551;text;TRUE;;966;777;1;1;https://sharpauviluck.id/tampan.php;844;0;402
