timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1623611070781;1324;Leaderboard;200;OK;Sharp Games 1-173;text;TRUE;;1023;619;2;2;https://sharpauviluck.id/tampan.php;1324;0;391
1623611071779;1364;Leaderboard;200;OK;Sharp Games 1-174;text;TRUE;;1025;603;2;2;https://sharpauviluck.id/tampan.php;1364;0;399
1623611072778;826;Leaderboard;200;OK;Sharp Games 1-175;text;TRUE;;1023;611;1;1;https://sharpauviluck.id/tampan.php;825;0;407
1623611073779;1348;Leaderboard;200;OK;Sharp Games 1-176;text;TRUE;;1029;599;2;2;https://sharpauviluck.id/tampan.php;1344;0;405
1623611074779;816;Leaderboard;200;OK;Sharp Games 1-177;text;TRUE;;1037;627;1;1;https://sharpauviluck.id/tampan.php;815;0;385
1623611075780;1370;Leaderboard;200;OK;Sharp Games 1-178;text;TRUE;;1033;595;2;2;https://sharpauviluck.id/tampan.php;1370;0;408
1623611076779;1336;Leaderboard;200;OK;Sharp Games 1-179;text;TRUE;;1025;599;2;2;https://sharpauviluck.id/tampan.php;1331;0;399
1623611077779;1337;Leaderboard;200;OK;Sharp Games 1-180;text;TRUE;;1029;627;2;2;https://sharpauviluck.id/tampan.php;1337;0;387
1623611078780;1329;Leaderboard;200;OK;Sharp Games 1-181;text;TRUE;;1029;599;2;2;https://sharpauviluck.id/tampan.php;1326;0;384
1623611079779;1353;Leaderboard;200;OK;Sharp Games 1-182;text;TRUE;;1031;595;2;2;https://sharpauviluck.id/tampan.php;1353;0;408
1623611080780;1370;Leaderboard;200;OK;Sharp Games 1-183;text;TRUE;;1027;623;2;2;https://sharpauviluck.id/tampan.php;1367;0;410
1623611081779;1385;Leaderboard;200;OK;Sharp Games 1-184;text;TRUE;;1025;607;2;2;https://sharpauviluck.id/tampan.php;1385;0;406
1623611082780;825;Leaderboard;200;OK;Sharp Games 1-185;text;TRUE;;1031;623;1;1;https://sharpauviluck.id/tampan.php;825;0;402
1623611083779;823;Leaderboard;200;OK;Sharp Games 1-186;text;TRUE;;1025;595;1;1;https://sharpauviluck.id/tampan.php;819;0;404
1623611084780;1369;Leaderboard;200;OK;Sharp Games 1-187;text;TRUE;;1033;595;2;2;https://sharpauviluck.id/tampan.php;1369;0;408
1623611085781;817;Leaderboard;200;OK;Sharp Games 1-188;text;TRUE;;1029;627;1;1;https://sharpauviluck.id/tampan.php;817;0;401
1623611086781;802;Leaderboard;200;OK;Sharp Games 1-189;text;TRUE;;1025;619;1;1;https://sharpauviluck.id/tampan.php;802;0;385
1623611087782;1347;Leaderboard;200;OK;Sharp Games 1-190;text;TRUE;;1023;627;2;2;https://sharpauviluck.id/tampan.php;1347;0;388
1623611088781;1373;Leaderboard;200;OK;Sharp Games 1-191;text;TRUE;;1029;623;2;2;https://sharpauviluck.id/tampan.php;1371;0;403
1623611089778;1359;Leaderboard;200;OK;Sharp Games 1-192;text;TRUE;;1023;591;2;2;https://sharpauviluck.id/tampan.php;1359;0;406
1623611090779;1348;Leaderboard;200;OK;Sharp Games 1-193;text;TRUE;;1031;607;2;2;https://sharpauviluck.id/tampan.php;1341;0;385
1623611091779;1347;Leaderboard;200;OK;Sharp Games 1-194;text;TRUE;;1029;599;2;2;https://sharpauviluck.id/tampan.php;1347;0;385
1623611092790;1343;Leaderboard;200;OK;Sharp Games 1-195;text;TRUE;;1029;595;2;2;https://sharpauviluck.id/tampan.php;1343;0;404
1623611093778;1361;Leaderboard;200;OK;Sharp Games 1-196;text;TRUE;;1025;623;2;2;https://sharpauviluck.id/tampan.php;1360;0;404
1623611094779;1452;Leaderboard;200;OK;Sharp Games 1-197;text;TRUE;;1027;611;2;2;https://sharpauviluck.id/tampan.php;1452;0;407
1623611095778;1329;Leaderboard;200;OK;Sharp Games 1-198;text;TRUE;;1031;591;2;2;https://sharpauviluck.id/tampan.php;1328;0;394
